RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,3,16,22,8,2,11013 06151 
1,3,16,23,5,1,07054 
1,3,16,23,12,1,10013 
1,3,16,28,5,1,07054 
1,3,16,29,4,1,09149 
1,3,16,29,7,2,16075 10098 
1,3,16,31,8,1,13130 
1,3,16,32,7,2,16075 13066 
1,3,16,32,12,1,10028 
1,3,16,33,7,1,10098 
1,3,16,33,8,1,13130 
1,3,16,33,15,1,11109 
1,3,17,20,7,1,13066 
1,3,17,20,16,1,06095 
1,3,17,21,13,1,09005 
1,3,17,21,16,1,06095 
1,3,17,23,12,2,10078 09024 
1,3,17,25,9,1,17018 
1,3,17,25,11,1,11037 
1,3,17,29,16,1,06095 
1,3,17,30,12,1,09024 
1,3,17,31,9,1,17018 
1,3,17,32,7,1,13066 
1,3,17,33,12,1,09024 
1,3,18,19,3,1,20123 
1,3,18,19,16,1,16039 
1,3,18,20,7,1,05088 
1,3,18,22,1,1,21081 
1,3,18,22,2,1,21124 
1,3,18,22,4,1,09149 
1,3,18,22,13,1,04015 
1,3,18,22,14,1,17023 
1,3,18,23,1,1,21081 
1,3,18,23,5,1,07054 
1,3,18,23,12,2,10148 10013 
1,3,18,23,13,1,04015 
1,3,18,23,16,1,18040 
1,3,18,24,7,1,05088 
1,3,18,24,15,1,08129 
1,3,18,25,15,1,08129 
1,3,18,26,1,1,03083 
1,3,18,26,3,1,20123 
1,3,18,27,5,1,08092 
1,3,18,27,12,1,10148 
1,3,18,27,13,1,15060 
1,3,18,27,16,1,16039 
1,3,18,28,1,1,03083 
1,3,18,28,5,2,08092 07054 
1,3,18,29,2,1,21124 
1,3,18,29,3,1,20123 
1,3,18,29,4,2,17067 09149 
1,3,18,30,1,1,16044 
1,3,18,30,5,1,08092 
1,3,18,31,13,1,15060 
1,3,18,32,2,1,21124 
1,3,18,32,13,1,15060 
1,3,18,32,15,1,08129 
1,3,19,20,6,1,16145 
1,3,19,20,11,1,15112 
1,3,19,21,7,1,17075 
1,3,19,23,2,1,18049 
